City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (C),Max Temp (F)
0,nuku'alofa,-21.1333,-175.2,301.34,89,100,5.66,TO,1707725623,28.189999999999998,82.74199999999999
1,remire-montjoly,4.9167,-52.2667,299.17,89,75,3.09,GF,1707725624,26.02000000000004,78.83600000000007
2,blackmans bay,-43.0167,147.3167,292.22,68,98,2.91,AU,1707725624,19.07000000000005,66.32600000000009
3,puerto ayora,-0.7393,-90.3518,299.01,99,8,1.34,EC,1707725625,25.860000000000014,78.54800000000003
4,richards bay,-28.783,32.0377,300.31,51,21,2.96,ZA,1707725625,27.160000000000025,80.88800000000005
5,beira,-19.8436,34.8389,301.2,89,100,5.66,MZ,1707725626,28.05000000000001,82.49000000000002
6,bilibino,68.0546,166.4372,244.83,96,100,1.16,RU,1707725627,-28.319999999999965,-18.975999999999935
7,miracatu,-24.2814,-47.4597,295.8,95,56,0.92,BR,1707725627,22.650000000000034,72.77000000000007
8,cheste,39.4833,-0.6833,287.43,71,20,3.09,ES,1707725628,14.28000000000003,57.70400000000005
9,albany,42.6001,-73.9662,274.38,77,9,0.89,US,1707725473,1.2300000000000182,34.214000000000034
10,papatowai,-46.5619,169.4708,287.46,72,78,3.58,NZ,1707725629,14.310000000000002,57.758
11,yellowknife,62.456,-114.3525,256.71,99,99,1.34,CA,1707725480,-16.439999999999998,2.408000000000005
12,waitangi,-43.9535,-176.5597,286.38,85,100,1.34,NZ,1707725630,13.230000000000018,55.814000000000036
13,moultonborough,43.7548,-71.3967,274.99,74,100,0.45,US,1707725631,1.8400000000000318,35.312000000000054
14,fortaleza,-3.7227,-38.5247,300.22,89,40,2.57,BR,1707725632,27.07000000000005,80.72600000000008
15,ushuaia,-54.8,-68.3,279.94,81,40,10.29,AR,1707725632,6.7900000000000205,44.22200000000004
16,constitucion,-35.3333,-72.4167,288.54,77,0,5.36,CL,1707725633,15.390000000000043,59.702000000000076
17,rapid valley,44.0625,-103.1463,275.45,66,40,3.13,US,1707725633,2.3000000000000114,36.14000000000002
18,at taj,24.2049,23.2857,294.59,11,0,7.21,LY,1707725634,21.439999999999998,70.592
19,bethel,41.3712,-73.414,273.57,83,0,0.0,US,1707725635,0.4200000000000159,32.75600000000003
20,adamstown,-25.066,-130.1015,297.91,90,76,8.18,PN,1707725635,24.760000000000048,76.56800000000008
21,thompson,55.7435,-97.8558,255.24,85,40,1.03,CA,1707725636,-17.909999999999968,-0.2379999999999427
22,port-aux-francais,-49.35,70.2167,279.42,77,18,11.16,TF,1707725636,6.270000000000039,43.28600000000007
23,sikasso,10.9167,-7.0,298.04,12,0,1.82,ML,1707725637,24.890000000000043,76.80200000000008
24,oromocto,45.8351,-66.4792,274.23,84,100,3.6,CA,1707725638,1.080000000000041,33.944000000000074
25,grytviken,-54.2811,-36.5092,277.79,84,20,2.69,GS,1707725638,4.640000000000043,40.352000000000075
26,udachny,66.4167,112.4,240.35,98,98,2.15,RU,1707725639,-32.79999999999998,-27.039999999999964
27,san antonio de pale,-1.4014,5.6325,301.61,80,40,2.49,GQ,1707725640,28.460000000000036,83.22800000000007
28,petrozavodsk,61.7849,34.3469,250.85,84,75,1.0,RU,1707725640,-22.299999999999983,-8.139999999999972
29,mana,5.6592,-53.7767,297.8,85,17,4.08,GF,1707725641,24.650000000000034,76.37000000000006
30,vanimo,-2.6741,141.3028,300.89,79,100,5.08,PG,1707725641,27.74000000000001,81.93200000000002
31,ketchikan,55.3422,-131.6461,275.41,87,100,2.57,US,1707725642,2.2600000000000477,36.06800000000008
32,zouerate,22.7187,-12.4521,290.33,52,0,3.21,MR,1707725642,17.180000000000007,62.924000000000014
33,mwingi,-0.9344,38.0601,300.69,51,66,3.13,KE,1707725643,27.54000000000002,81.57200000000003
34,illizi,26.4833,8.4667,291.04,29,0,0.93,DZ,1707725644,17.890000000000043,64.20200000000008
35,atafu village,-8.5421,-172.5159,301.7,81,100,10.71,TK,1707725644,28.55000000000001,83.39000000000001
36,naracoorte,-36.9579,140.7383,307.45,16,0,5.31,AU,1707725645,34.30000000000001,93.74000000000002
37,longyearbyen,78.2186,15.6401,260.06,85,40,5.14,SJ,1707725646,-13.089999999999975,8.438000000000045
